TRINITY_DN20127_c0_g1_i1.p1,291,457,PF00201
TRINITY_DN29284_c0_g1_i1.p1,269,417,PF00201
TRINITY_DN29284_c0_g1_i1.p1,332,375,PS00375
TRINITY_DN20127_c0_g3_i2.p1,251,381,PF00201
TRINITY_DN18860_c1_g1_i1.p1,259,379,PF00201
TRINITY_DN18860_c1_g1_i1.p1,327,370,PS00375
TRINITY_DN20296_c0_g1_i7.p1,218,261,PS00375
TRINITY_DN20296_c0_g1_i7.p1,154,320,PF00201
TRINITY_DN19699_c0_g1_i10.p1,229,374,PF00201
TRINITY_DN18363_c0_g1_i1.p1,269,430,PF00201
TRINITY_DN18372_c1_g2_i2.p1,225,413,PF00201
TRINITY_DN20354_c0_g1_i3.p1,360,403,PS00375
TRINITY_DN20354_c0_g1_i3.p1,256,446,PF00201
TRINITY_DN20354_c0_g1_i2.p1,360,403,PS00375
TRINITY_DN20354_c0_g1_i2.p1,256,446,PF00201
TRINITY_DN20438_c0_g1_i2.p1,61,104,PS00375
TRINITY_DN20438_c0_g1_i2.p1,2,112,PF00201
TRINITY_DN17923_c0_g1_i1.p1,358,401,PS00375
TRINITY_DN17923_c0_g1_i1.p1,283,407,PF00201
TRINITY_DN20148_c0_g1_i6.p1,276,414,PF00201
TRINITY_DN20148_c0_g1_i6.p1,341,384,PS00375
TRINITY_DN18980_c0_g1_i1.p1,249,420,PF00201
TRINITY_DN18980_c0_g1_i1.p1,336,379,PS00375
TRINITY_DN19760_c2_g2_i2.p1,339,382,PS00375
TRINITY_DN19760_c2_g2_i2.p1,256,389,PF00201
TRINITY_DN17655_c1_g1_i2.p1,201,244,PS00375
TRINITY_DN17655_c1_g1_i2.p1,124,252,PF00201
TRINITY_DN19760_c2_g2_i5.p1,298,341,PS00375
TRINITY_DN19760_c2_g2_i5.p1,213,348,PF00201
TRINITY_DN20148_c0_g1_i7.p1,180,322,PF00201
TRINITY_DN20148_c0_g1_i7.p1,249,292,PS00375
TRINITY_DN19699_c0_g1_i6.p1,340,383,PS00375
TRINITY_DN19699_c0_g1_i6.p1,247,389,PF00201
TRINITY_DN19226_c0_g2_i3.p1,346,389,PS00375
TRINITY_DN19226_c0_g2_i3.p1,277,397,PF00201
TRINITY_DN19643_c1_g1_i5.p1,284,422,PF00201
TRINITY_DN19643_c1_g1_i5.p1,359,402,PS00375
TRINITY_DN12197_c0_g1_i1.p1,102,455,PF00201
TRINITY_DN12197_c0_g1_i1.p1,369,412,PS00375
TRINITY_DN20148_c0_g1_i8.p1,315,454,PF00201
TRINITY_DN20148_c0_g1_i8.p1,381,424,PS00375
TRINITY_DN19891_c0_g1_i5.p1,294,441,PF00201
TRINITY_DN19891_c0_g1_i5.p1,359,402,PS00375
TRINITY_DN15353_c0_g1_i2.p1,195,336,PF00201
TRINITY_DN20287_c0_g1_i11.p1,252,358,PF00201
TRINITY_DN17190_c0_g2_i1.p1,357,400,PS00375
TRINITY_DN17190_c0_g2_i1.p1,228,440,PF00201
TRINITY_DN19252_c0_g1_i3.p1,335,378,PS00375
TRINITY_DN19252_c0_g1_i3.p1,251,387,PF00201
TRINITY_DN20282_c2_g2_i7.p1,335,420,PF00201
TRINITY_DN19751_c1_g1_i1.p1,16,201,PF00201
TRINITY_DN19751_c1_g1_i1.p1,114,157,PS00375
TRINITY_DN19835_c3_g3_i2.p1,250,403,PF00201
TRINITY_DN19835_c3_g3_i2.p1,353,396,PS00375
TRINITY_DN20148_c0_g1_i4.p1,66,109,PS00375
TRINITY_DN20148_c0_g1_i4.p1,3,139,PF00201
TRINITY_DN19760_c2_g2_i4.p1,339,382,PS00375
TRINITY_DN19760_c2_g2_i4.p1,256,396,PF00201
TRINITY_DN19891_c0_g1_i3.p1,106,200,PF00201
TRINITY_DN20438_c0_g1_i12.p1,26,152,PF00201
TRINITY_DN20438_c0_g1_i12.p1,101,144,PS00375
TRINITY_DN20053_c0_g1_i13.p1,282,438,PF00201
TRINITY_DN20053_c0_g1_i13.p1,348,391,PS00375
TRINITY_DN19226_c0_g3_i1.p1,346,389,PS00375
TRINITY_DN19226_c0_g3_i1.p1,279,399,PF00201
TRINITY_DN30342_c0_g1_i1.p1,1,131,PF00201
TRINITY_DN20053_c0_g1_i3.p1,128,171,PS00375
TRINITY_DN20053_c0_g1_i3.p1,58,181,PF00201
TRINITY_DN19226_c0_g3_i2.p1,281,398,PF00201
TRINITY_DN19226_c0_g3_i2.p1,347,390,PS00375
TRINITY_DN20354_c0_g1_i5.p2,98,141,PS00375
